,Company,Position,Connected On,Full Name
78,Foundever™,Designer Jr Bilíngue ,14 May 2024,Richard Anderson
79,Sicredi,Assistente de Negocios,13 May 2024,Andrew Ortiz DDS
80,Sicredi Vale do Jaguari e Zona da Mata RS/MG,Assessora de Comunicação e Marketing,13 May 2024,Amanda Farley
81,DEx01,UX Researcher,13 May 2024,Timothy Rodriguez
82,Copywriter Autonomo/Freelancer,Copywriter,12 May 2024,Natalie Smith
83,O2B,Business Partner ,11 May 2024,Dustin Mcmillan
84,Embraer,UX Designer - Digital Transformation,10 May 2024,Robert Wells
85,Freelance,Senior Business Intelligence Consultant,10 May 2024,Nicholas Brown
86,Itaú Unibanco,Designer de Conteúdo,10 May 2024,Larry Wood
87,Universidade de Santa Cruz do Sul - UNISC,Analista de Sistemas / Coordenador da Equipe de Desenvolvimento,10 May 2024,Tanya Weaver
88,Universidade de Santa Cruz do Sul,Técnico administrativo,09 May 2024,Leslie Harmon
89,Valor Econômico,Coordenadora do Curso Valor de Jornalismo Econômico ,09 May 2024,Jessica Sanchez
90,Ana Luiza Monteiro,Ilustradora freelancer,08 May 2024,Karen Perez
91,Globo,Analista de criação III – MKT Produtos Digitais,08 May 2024,Michael Chang
92,VisionaRH Consultoria e Desenvolvimento Humano,Sócia e Product Designer,08 May 2024,Shane Gordon
93,Loyalme by Cuponeria,Designer UI/UX Líder,07 May 2024,Thomas Klein
94,IBM,HR Business Partner,07 May 2024,Cindy Mendoza
95,Integral Trust Serviços,Analista de DHO Jr.,07 May 2024,Jamie Perez
96,PontoTel,UX Designer Estagiária,07 May 2024,Martha Williams
97,mazzatech,Tech Recruiter ,07 May 2024,Alvin Lawson
98,Self employed - Visual Artist,Artista visual ,07 May 2024,Gregory Garcia
99,QuintoAndar,Staff Product Designer | Payments Journey,07 May 2024,Crystal Fuentes
100,Atlas Technologies,"Senior Marketing Manager - Branding, Content & Community",07 May 2024,Darin Jones
101,Neogrid,Analista de Customer Onboarding Bilíngue Jr.,07 May 2024,Charles Williams
102,Porú,Designer,06 May 2024,Travis Harper
103,TOTVS,Product Designer (Time de Billing) | Unidade de Negócio RD Station,06 May 2024,Courtney Cruz
104,Associação Cultural Érico Veríssimo,Presidente da ACCEV ,06 May 2024,Robert Soto
105,Editora Sextante,Parceira de marca,06 May 2024,Eileen Carter
106,CI&T,Product Design Leader,06 May 2024,William Morales
107,CopySublime,Business Owner,05 May 2024,Mitchell King
108,Mercado Livre,UX Designer,05 May 2024,Mark Ward
109,Oppai-Man, Specialist Product Designer – Visual Design and Usability for Gaming Platforms,04 May 2024,Cody Cochran
110,Metta,Copywriter,04 May 2024,Courtney Payne
111,Correio do Povo,Infografista e designer gráfico,04 May 2024,Morgan Ochoa
112,Autônomo,Copywriter,04 May 2024,Mr. Joshua Hawkins
113,Harvard University Graduate School of Design,"Curator, Quotes Gallery ",04 May 2024,Ashley Torres
114,Starian,Product Designer,04 May 2024,Steven Rollins
115,BRQ Digital Solutions,Senior Product Designer,04 May 2024,Jose Hunter
116,Você Ligado,Copywriter,04 May 2024,John Gray
117,Autônomo,Copywriter,04 May 2024,Heather Mendez
118,Bandeira Studio,Illustrator & Visual Designer,03 May 2024,Heidi Dillon
119,Brantive,Founder,03 May 2024,Lori Goodman
120,Kipiai,Analista de SEO Técnico,03 May 2024,Antonio Crawford
121,Valid,Analista de sistemas UX/UI II,03 May 2024,Tyler Taylor
122,Mercado Livre,Design Ops Manager ,03 May 2024,Ms. Angela Lowe DDS
123,Point Media ,Diretor de Arte Pleno,03 May 2024,Colleen Cook
124,"Defy Studio | Estratégia de Conteúdo, Branding e Design",Estratégista de Conteúdo & Ghostwriter,03 May 2024,Christopher Miller
125,Justino Ribas Fábrica de Jóias,Direção de arte,03 May 2024,Brittney Hicks
126,Gandini Comunicação Jurídica,Designer gráfico,03 May 2024,Cathy Kline
127,Betha Sistemas,Senior Product Designer,03 May 2024,Chelsey Miller
128,Substantial English,Fundador,03 May 2024,Troy Maxwell
129,Pharos Consultoria,Head de marketing,03 May 2024,Heather Watson
130,Maudy SEO Agência de SEO,CEO do Maudy Agência de SEO,03 May 2024,Kristen Harrison
131,Minsait,Especialista em UI UX,03 May 2024,Howard Robinson
132,Sicredi Planalto das Águas PR/SP,Assistente de Negócios,03 May 2024,Johnathan James
133,blood,Diretora de arte,03 May 2024,Derrick Johnson
134,Sicredi Região da Produção RS/SC/MG,"Gerente de Comunicação, Marketing e Cooperativismo",03 May 2024,Angel Murphy
135,The SilverLogic,UX/UI Designer,03 May 2024,Megan Fisher
136,Prefácio Comunicação,Coordenadora de Criação,03 May 2024,John Tucker
137,Sling Hub,Data Visual Designer,03 May 2024,Whitney Sawyer
138,Dexian Brasil,Product Designer (Projeto Getnet),03 May 2024,Caleb Hill
139,Capgemini,Consultor Soluções Digitais V,03 May 2024,Ryan Walters
140,Amazon,Business Analyst Intern,03 May 2024,Dr. Courtney Collins
141,TrustEngine,Web Designer,03 May 2024,Tyler Hall
142,Globo,Art Director,03 May 2024,Sabrina Reeves
143,MESSS,Strategy Lead,03 May 2024,Ms. Ellen Anderson
144,Unijuí | Universidade Regional do Noroeste do Estado do RS,Analista de comunicação,03 May 2024,Kelly Jimenez
145,Evangelizar É Preciso,Analista de DHO | T&D,03 May 2024,Jeremy Ramirez
146,Casas Pedro,Analista Pleno | Design Gráfico,03 May 2024,Heather Jefferson
147,Liven,Pleno Product Designer | UI/UX Designer,03 May 2024,Robert Munoz
148,Conversion,Analista Educacional Sênior ,03 May 2024,Joel Wilkerson
149,Euphoria Creative,Art Director ,03 May 2024,Patrick Hernandez
150,Sicredi Essência,Assessora de Comunicação e Marketing,02 May 2024,Laura Brown
151,XP Inc.,Design Manager Senior - XP Empresas,02 May 2024,Bradley Santos
152,Gupy,Senior UX Designer (CRO),02 May 2024,Jason Richards
153,Fluency Academy,Designer de produto | Ux Designer,02 May 2024,Melanie Chaney
154,Globo,Product Designer | Formatos & Mensuração,02 May 2024,Albert Peterson III
155,Batuca,Gestora de estratégia | Mídia e planejamento,02 May 2024,Eric Howard
156,HCLTech,Tech Recruiter | R&S Analyst,02 May 2024,Bradley Jensen
157,Itaú Unibanco,Estagiária de tecnologia | Cartões PJ,02 May 2024,Lori Rivera
158,ForTalk,Sócio proprietário,02 May 2024,Paul Wilson
159,Hotmart,Senior Product Designer,02 May 2024,Leslie Smith
160,PicPay,Visual Designer Sr.,02 May 2024,Anita Ortiz
161,EnterDesign,Assistente de design gráfico,02 May 2024,Mrs. Paula Brown MD
162,Hotmart,Senior Product Designer,02 May 2024,Sheryl Velasquez
163,tm1 Brand Experience,Head de Criação,02 May 2024,Mr. Antonio Robertson
164,Companhia das Letras,Assitente de produção editorial,02 May 2024,Rebecca Klein
165,Nubank,Influence Marketing Manager,02 May 2024,Raymond Dodson
166,Grupo RBS,Diretora de arte,02 May 2024,Walter Ford
167,Café.art.br,Partner and Creative Director,02 May 2024,Amber Weaver
168,Méliuz,Brand Designer Pleno,02 May 2024,Michael Rodriguez
169,MAHP Tecnologia,UX Designer,02 May 2024,Jacob Bailey
170,Diário do Grande ABC,Designer gráfico digital,02 May 2024,Robert Michael
171,Wipro,Associate Director Talent Acquisition,02 May 2024,Andrew Yates
172,Garupa Design,CEO,02 May 2024,Ashlee Maxwell
173,Carglass® Brasil,Analista de marketing pleno,02 May 2024,Melanie Woodward
174,SENAI/SC - Serviço Nacional de Aprendizagem Industrial,Designer gráfico,02 May 2024,Justin Romero
175,Reclame AQUI,Product Design Manager,02 May 2024,Jonathan Robinson
